Address	Longitude	Latitude
Halle/Saale	12	51.5
Amsterdam	4.916667	52.35
Berlin	13.4	52.516667
Brandenburg	12.44	52.41
Spillern	16.25	48.3833333
Eckernförde	9.833333	54.466667
Hannover	9.716667	52.366667
Marburg	8.766667	50.816667
Frankenberg/Eder	8.8167	51.0667
Ebsdorfergrund- Wittelsberg	8.8548379	50.7597457
Lichtenfels-Goddelsheim	8.8061608	51.2018766
Krefeld	6.566667	51.333333
Everswinkel	7.85	51.933333
Rheine	7.45	52.283333
Osnabrück	8.049444	52.289722
Leverkusen	6.983333	51.016667
Bonn	7.1	50.733333
Hüffelsheim	7.8	49.816667
TH Bergeijk	5.340698401743055	51.32605639342842
Koblenz	7.25	50.1667
Iserlohn	7.7	51.366667
Oelde	8.15	51.816667
Lüdinghausen	7.4667	51.7667
Biebergemünd	8.266667	50.2
Taunusstein	8.15	50.15
Limburg	8.05	50.383333
Völklingen-Ludweiler	6.7883314	49.2097355
Dillingen / Saar	6.727811	49.355568
Wachenheim	8.177222	49.447222
Speyer	8.427778	49.329722
Lochau	9.75	47.516
Stuttgart	9.183333	48.766667
Stuttgart - Weilimdorf	9.1123	48.8143
Offenburg	7.933333	48.483333
Waldkirch	7.966667	48.1
Merzhausen	7.8333333	47.9666667
München	11.574444	48.139722
Geretsried	11.480541229248047	47.85774843656128
Erdweg	11.3	48.333333
Gmund am Tegernsee	11.733333	47.75
Dingolfing	12.5	48.633333
Heldenstein	12.366667	48.25
Neubiberg	11.683333	48.083333
Maihingen	10.5	48.933333
Biberach	8.283333	48.616667
Ulm	8.016667	48.733333
Nürnberg	11.078611	49.4555556
Hersbruck	11.433889	49.5125
Bernhardswald	12.25	49.1
Bad Griesbach im Rottal	13.1939	48.4557
Höchstädt	12.083333	50.1
Bayreuth	11.5833	49.45
Kemnath	11.891389	49.868056
Wunsiedel	12.016667	50.033333
Coburg	10.966667	50.25
Estenfeld	10.016667	49.833333
Bad Königshofen	10.483333	50.3
Münster	7.416667	51.833333
Kiel	9.166667	54.55
Starnberg	11.344156265258789	48.00192589131098
Hamburg	9.993333	53.550556
